Country,Region,Electricity_generated_kW,Education_expenditure_percent_GDP,Energy_consumption_per_capita_BtuPerPerson,Reserves_of_foreign_exchange_dollars,Electricity_generated_kW_rob,Education_expenditure_percent_GDP_rob,Energy_consumption_per_capita_BtuPerPerson_rob,Reserves_of_foreign_exchange_dollars_rob
CHINA,East and Southeast Asia,2949000000,3.6,113805000,3265000000000,180.73009775147037,2.088742452220124,1.6949276251801535,117.00496955025937
UNITED STATES,North America,1235000000,6.1,278474000,227760000000,75.68723998747572,3.5392580440396544,4.1473861033734725,8.162037324584096
INDIA,South Asia,499136000,4.5,25179000,569544000000,30.589656856994885,2.610928065275155,0.37499743134669905,20.410253714405183
JAPAN,East and Southeast Asia,361617000,3.4,129504000,1160000000000,22.161775435263973,1.9727012048745614,1.9287369374924703,41.56991261203702
RUSSIA,Central Asia,301926000,3.7,224858000,597217000000,18.503599692679025,2.1467630758929053,3.348868994708132,21.4019469831232
GERMANY,Europe,275658000,4.7,120457000,96792000000,16.89375967649197,2.7269693126207173,1.7939976006882452,3.468650846158868
BRAZIL,South America,240251000,6.0,48889000,318857000000,14.723834084397595,3.481237420366873,0.7281166615476694,11.4266014014968
CANADA,North America,161988000,5.2,311599000,117551000000,9.927469336915966,3.0170724309846237,4.640725390611227,4.21257310125652
FRANCE,Europe,151463000,5.5,123526000,78429000000,9.28244245362189,3.191134302002967,1.8397050202364011,2.81059196228401
"KOREA, SOUTH",East and Southeast Asia,151139000,4.7,234668000,409457000000,9.262586044102909,2.7269693126207173,3.4949718900380145,14.67335492102314
SPAIN,Europe,130366000,4.6,101120000,84154000000,7.989508281949198,2.668948688947936,1.506006603033409,3.0157538154770376
ITALY,Europe,128692000,4.3,96797000,84875000000,7.886916832767794,2.494886817929592,1.4416230335623506,3.041591666333312
SAUDI ARABIA,Middle East,119620000,7.8,349692000,436769000000,7.330937366236312,4.525608646476935,5.208054400988518,15.652111346247239
UNITED KINGDOM,Europe,114749000,5.5,94280000,148569000000,7.032417086091378,3.191134302002967,1.404136694363032,5.3241382300497655
AUSTRALIA,Australia and Oceania,108193000,6.1,223158000,54455000000,6.630631219404826,3.5392580440396544,3.323550450155553,1.9514565442142033
TURKEY (TURKIYE),Middle East,106281000,3.4,70521000,90859000000,6.5134538891570095,1.9727012048745614,1.0502876943484873,3.2560350776009237
MEXICO,North America,105586000,4.3,57539000,221944000000,6.470860665034503,2.494886817929592,0.8569433735357923,7.953614383418917
IRAN,Middle East,86058000,3.6,160779000,120600000000,5.274082995013916,2.088742452220124,2.3945236909524175,4.321837466389366
VIETNAM,East and Southeast Asia,85725000,4.1,40263000,92238000000,5.253675018563851,2.37884557058403,0.5996473878355829,3.305453103025061
INDONESIA,East and Southeast Asia,70826000,3.5,37390000,149118000000,4.340586606763527,2.0307218285473425,0.5568590475417243,5.343812266277359
SOUTH AFRICA,Africa,65989000,6.6,86197000,54912000000,4.044150023913794,3.8293611624035604,1.2837544616462693,1.9678336563380834
POLAND,Europe,64806000,5.2,103651000,185515000000,3.9716496150836855,3.0170724309846237,1.5437014478937487,6.648139946743145
UKRAINE,Europe,60297000,5.4,57856000,41485000000,3.6953145826111933,3.133113678330186,0.8616645374317733,1.486661917853755
NETHERLANDS,Europe,59982000,5.3,185536000,27753000000,3.6760097400232943,3.0750930546574047,2.7632361659454765,0.9945601592429857
EGYPT,Africa,59680000,2.5,34975000,34278000000,3.6575016052247378,1.4505155918195305,0.5208918210155605,1.228390917685694
THAILAND,East and Southeast Asia,55971000,3.2,80602000,217261000000,3.4301947444040515,1.8566599575289993,1.2004266635452812,7.785793779313599
SWEDEN,Europe,55307000,7.2,142102000,52023000000,3.3895013619330525,4.177484904440248,2.116362245888583,1.864303072255174
ARGENTINA,South America,47631000,5.0,78496000,24381000000,2.9190760549339725,2.901031183639061,1.1690614548230862,0.8737207236155815
UNITED ARAB EMIRATES,Middle East,44462000,3.9,450432000,231690000000,2.7248632099782553,2.2628043232384676,6.70840156465135,8.302873321623153
PAKISTAN,South Asia,43512000,2.4,14076000,12977000000,2.666642256141736,1.3924949681467493,0.2096375488953547,0.4650454792813831
NORWAY,Europe,41100000,5.9,206961000,81242000000,2.5188223186115404,3.423216796694092,3.08232429361548,2.9113990003681995
CHILE,South America,39238000,5.6,71420000,44382000000,2.4047092490919613,3.249154925675748,1.0636767364383513,1.5904791909891611
MALAYSIA,East and Southeast Asia,37220000,3.9,113163000,112968000000,2.2810356861002803,2.2628043232384676,1.6853661512961795,4.048336110307412
VENEZUELA,South America,33493000,1.3,54474000,9794000000,2.0526256914174286,0.7542681077461559,0.8112955270336424,0.350979072519216
AUSTRIA,Europe,33371000,5.1,120211000,11919000000,2.045148895240528,2.959051807311842,1.790333858358872,0.4271308520886804
IRAQ,Middle East,31339000,4.7,64311000,87048000000,1.9206173392449406,2.7269693126207173,0.9578005404240661,3.1194635802177575
PHILIPPINES,East and Southeast Asia,29174000,3.7,17654000,95251000000,1.7879348497122403,2.1467630758929053,0.26292563854778284,3.413427367421671
BELGIUM,Europe,28248000,6.7,190416000,22374000000,1.7311847410252745,3.8873817860763418,2.8359152820728797,0.801797607570445
KAZAKHSTAN,Central Asia,27624000,4.5,172936000,21980000000,1.6929427671368658,2.610928065275155,2.575581071026361,0.7876781717349773
FINLAND,Europe,26782000,5.9,183540000,14322000000,1.64134061647334,3.423216796694092,2.733509215988448,0.5132450762324088
SWITZERLAND,Europe,26502000,5.2,99578000,822130000000,1.6241807563952078,3.0170724309846237,1.4830411937980696,29.461958841149997
PORTUGAL,Europe,25409000,5.0,73285000,10332000000,1.5571960168759276,2.901031183639061,1.0914526691386806,0.3702589112996263
GREECE,Europe,24169000,4.4,92693000,5610000000,1.481202350815628,2.552907441602374,1.3805010883601245,0.20104069806338593
BANGLADESH,South Asia,22699000,2.1,11472000,20225000000,1.3911130854054343,1.2184330971284056,0.17085549594540417,0.7247857608434902
ISRAEL,Middle East,22612000,7.1,112437000,214544000000,1.3857812717383005,4.119464280767467,1.674553643446078,7.688427009859371
ALGERIA,Africa,22591000,7.0,61843000,68448000000,1.3844942822324404,4.061443657094685,0.9210439710383219,2.452911533162681
CZECHIA,Europe,21802000,5.1,136306000,141988000000,1.3361402479408466,2.959051807311842,2.0300409022257897,5.08830064823958
COLOMBIA,South America,21053000,4.9,29305000,61506000000,1.2902376222318432,2.84301055996628,0.4364470283019586,2.2041371078585765
DENMARK,Europe,20794000,6.4,98513000,103239000000,1.2743647516595709,3.7133199150579985,1.467179870298954,3.6996863863397325
KUWAIT,Middle East,20294000,6.6,389848000,44104000000,1.2437221443771922,3.8293611624035604,5.806108209843438,1.5805167464148973
ROMANIA,Europe,19748000,3.7,59377000,64699000000,1.2102604172248344,2.1467630758929053,0.8843171881755808,2.3185618759363646
UZBEKISTAN,Central Asia,17901000,4.9,55305000,9145000000,1.097066625923727,2.84301055996628,0.8236718273414031,0.3277214231354125
PERU,South America,16164000,4.0,30923000,76338000000,0.990614208224743,2.320824946911249,0.46054432541141327,2.735658611187657
HUNGARY,Europe,14829000,4.8,96152000,37194000000,0.9087984467807915,2.7849899362934987,1.4320168798938722,1.33288907732078
MOROCCO,Africa,14615000,6.8,23520000,35269000000,0.8956834108639333,3.9454024097491227,0.35028951051568213,1.2639045240637359
HONG KONG,East and Southeast Asia,13300000,4.0,116811000,425554000000,0.815093353711277,2.320824946911249,1.7396967692537137,15.250209130778277
SINGAPORE,East and Southeast Asia,13134000,2.8,643259000,365494000000,0.8049200080935273,1.624577462837874,9.580224500204388,13.097891069158498
BULGARIA,Europe,12939000,4.0,102171000,40270000000,0.7929693912533995,2.320824946911249,1.5216594208715035,1.4431210180058023
LAOS,East and Southeast Asia,12738000,2.3,34463000,1770000000,0.7806510631258832,1.334474344473968,0.5132664711267838,0.06342995286491855
BELARUS,Europe,12653000,4.7,104821000,4392000000,0.7754418198878787,2.7269693126207173,1.5611265638505238,0.15739228982074707
IRELAND,Europe,12321000,3.1,113837000,11688000000,0.7550951286523793,1.7986393338562179,1.695404209548202,0.41885270569783506
OMAN,Middle East,11589000,5.4,296586000,17298000000,0.7102343515909766,3.133113678330186,4.41713285568895,0.619893403761221
QATAR,Middle East,11400000,3.2,814308000,44692000000,0.6986514460382375,1.8566599575289993,12.127701986777385,1.6015883917734124
NEW ZEALAND,Australia and Oceania,10643000,6.0,121647000,22065000000,0.6522585386127159,3.481237420366873,1.8117205818750506,0.7907242429177559
PARAGUAY,South America,8928000,3.3,25733000,9886000000,0.5471543956341565,1.9146805812017802,0.3832482982185395,0.3542759966229293
ECUADOR,South America,8438000,3.7,35700000,4703000000,0.5171246404974252,2.1467630758929053,0.5316894356041604,0.16853732673656044
AZERBAIJAN,Central Asia,8383000,4.3,66467000,12699000000,0.5137539536963636,2.494886817929592,0.989910412221337,0.4550830347071191
SERBIA,Europe,8202000,3.6,91884000,26445000000,0.5026613298601424,2.088742452220124,1.368452439805397,0.9476864991597578
SLOVAKIA,Europe,8138000,4.6,127582000,11793000000,0.4987390761279979,2.668948688947936,1.9001120888865546,0.4226154995118557
ANGOLA,Africa,7600000,2.4,9146000,14243000000,0.46576763069215826,1.3924949681467493,0.13621376969287538,0.5104140218390029
BURMA,East and Southeast Asia,7419000,2.1,8384000,9338000000,0.45467500685593715,1.2184330971284056,0.12486510442871936,0.334637796526898
BAHRAIN,Middle East,7031000,2.2,554202000,5118000000,0.43089634360481116,1.276453720801187,8.25387531066378,0.1834093213348323
JORDAN,Middle East,6891000,3.2,32909000,15929000000,0.4223164135657451,1.8566599575289993,0.4901223427534262,0.5708337396527049
TUNISIA,Africa,6639000,7.3,33754000,8770000000,0.4068725394954262,4.235505528113029,0.5027071487222081,0.3142828737996247
DOMINICAN REPUBLIC,Central America and the Caribbean,6581000,4.6,39329000,13424000000,0.40331799705067023,2.668948688947936,0.585737081593166,0.4810642300896422
TURKMENISTAN,Central Asia,6512000,3.1,261142000,24910000000,0.39908931724570196,1.7986393338562179,3.8892560950291784,0.8926780372119328
TAJIKISTAN,Central Asia,6481000,5.9,16192000,3304000000,0.39718947559419443,3.423216796694092,0.24115169023256486,0.1184025786811813
ETHIOPIA,Africa,5690000,4.5,2366000,3784000000,0.34871287087347114,2.610928065275155,0.03523745671258945,0.13560392183098974
URUGUAY,South America,5682000,4.6,45755000,17369000000,0.3482225891569531,2.668948688947936,0.6814411800019149,0.6224377691021301
GHANA,Africa,5519000,3.9,10493000,3624000000,0.33823309918289757,2.2628043232384676,0.1562749929354189,0.12987014078105358
CROATIA,Europe,5518000,5.5,79907000,3336000000,0.3381718139683328,3.191134302002967,1.1900758468017267,0.11954933489116853
LITHUANIA,Europe,5426000,4.0,83700000,6920000000,0.3325335742283751,2.320824946911249,1.2465659876769812,0.24798603040973807
SRI LANKA,South Asia,5326000,1.9,12372000,6055000000,0.32640505277189935,1.102391849782843,0.18425943129676955,0.2169877766085208
LEBANON,Middle East,5161000,1.7,43105000,9240000000,0.31629299236871433,0.9863506024372807,0.6419740370228946,0.33112585563381214
GUATEMALA,Central America and the Caribbean,4995000,3.1,17096000,23834000000,0.30611964675096454,1.7986393338562179,0.2546151986299363,0.8541183596511124
SLOVENIA,Europe,4739000,5.8,104502000,2566000000,0.2904306318223866,3.3651961730213107,1.5563756134315399,0.09195551358835086
GEORGIA,Central Asia,4526000,3.6,56076000,3848000000,0.27737688112009323,2.088742452220124,0.8351545319590729,0.13789743425096418
PANAMA,Central America and the Caribbean,4485000,3.9,78010000,6856000000,0.27486418732293816,2.2628043232384676,1.161823329733349,0.24569251798976363
BOLIVIA,South America,4375000,9.8,29340000,87100000,0.2681228137208148,5.68602111993256,0.4369682924545117,0.0031213270590589866
ARMENIA,Central Asia,4265000,2.8,54689000,3684000000,0.26138144011869147,1.624577462837874,0.8144975782564686,0.13202030867477962
NIGERIA,Africa,4094000,0.5,7993000,38612000000,0.2509016684281179,0.2901031183639061,0.11904183918162617,1.3837047118758392
ZAMBIA,Africa,3986000,3.7,8265000,3173000000,0.24428286525512408,2.1467630758929053,0.12309280631003883,0.11370804544654609
KYRGYZSTAN,Central Asia,3944000,6.2,27580000,3237000000,0.24170888624340425,3.5972786677124358,0.4107561522118416,0.11600155786652054
KENYA,Africa,3824000,4.8,5486000,10065000000,0.23435466049563333,2.7849899362934987,0.08170443259732281,0.36069066417254536
COSTA RICA,Central America and the Caribbean,3751000,6.7,30725000,14177000000,0.229880839832406,3.8873817860763418,0.45759545963411286,0.5080488371559042
CAMBODIA,East and Southeast Asia,3673000,3.1,15664000,18608000000,0.2251005930963549,1.7986393338562179,0.23328804815976384,0.6668387361075732
LATVIA,Europe,3428000,6.0,65908000,4591000000,0.2100857155279893,3.481237420366873,0.981585079041989,0.16452368000160514
HONDURAS,Central America and the Caribbean,3334000,6.4,16642000,7543000000,0.20432490535890208,3.7133199150579985,0.24785365790824757,0.27031194037292694
"CONGO, DEMOCRATIC REPUBLIC OF THE",Africa,3229000,2.7,1305000,5104000000,0.1978899578296025,1.566556839165093,0.019435706259479813,0.1829076154929629
ESTONIA,Europe,3225000,6.6,73679000,2054000000,0.19764481697134348,3.8293611624035604,1.0973206141702783,0.0736074142285552
MOZAMBIQUE,Africa,2860000,6.3,5789000,3513000000,0.17527571365520694,3.6552992913852167,0.08621709083228249,0.12589233017766038
ALBANIA,Europe,2857000,3.1,27407000,6455000000,0.17509185801151267,1.7986393338562179,0.40817961797207913,0.23132222923336118
NEPAL,South Asia,2853000,4.2,6604000,12456000000,0.17484671715325362,2.4368661942568113,0.09835509895601892,0.4463748547375285
EL SALVADOR,Central America and the Caribbean,2803000,4.1,24421000,3590000000,0.17178245642501574,2.37884557058403,0.36370833912854905,0.12865171230794215
ZIMBABWE,Africa,2491000,3.9,10855000,261373000,0.15266146948081136,2.2628043232384676,0.1616663535989681,0.009366597214780992
